Match Number,Round Number,Date,Location,Home Team,Away Team,Result
284,32,03/05/2026 16:00,Ülker Stadium,Fenerbahçe,Istanbul Basaksehir,
285,32,03/05/2026 16:00,Papara Park,Trabzonspor,Göztepe,
286,32,03/05/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Galatasaray,
287,32,03/05/2026 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Gençlerbirligi,
288,32,03/05/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Kocaelispor,
289,33,10/05/2026 16:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Çaykur Rizespor,
290,33,10/05/2026 16:00,Eryaman Stadium,Gençlerbirligi,Kasimpasa,
291,33,10/05/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Antalyaspor,
292,33,10/05/2026 16:00,Besiktas Stadyumu,Besiktas,Trabzonspor,
293,33,10/05/2026 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Samsunspor,
294,33,10/05/2026 16:00,Kocaeli Stadium,Kocaelispor,Fatih Karagümrük,
295,33,10/05/2026 16:00,Gürsel Aksel Stadium,Göztepe,Gaziantep,
296,33,10/05/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Fenerbahçe,
297,33,10/05/2026 16:00,Alanya Oba Stadium,Alanyaspor,Kayserispor,
298,34,17/05/2026 16:00,Ülker Stadium,Fenerbahçe,Eyüpspor,
299,34,17/05/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Konyaspor,
300,34,17/05/2026 16:00,Rize City Stadium,Çaykur Rizespor,Besiktas,
301,34,17/05/2026 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Alanyaspor,
302,34,17/05/2026 16:00,Gaziantep Stadium,Gaziantep,Istanbul Basaksehir,
303,34,17/05/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Göztepe,
304,34,17/05/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,
305,34,17/05/2026 16:00,Papara Park,Trabzonspor,Gençlerbirligi,
306,34,17/05/2026 16:00,Antalya Stadium,Antalyaspor,Kocaelispor,
